"ID","Agree","Best_lm"
"39835","0","lm2"
"39836","0","HollT2"
"39837","0","HollT2"
"39838","0","HollT2"
"39839","1","lm3"
"39840","0","HollT2"
"39841","0","HollT2"
"39842","0","lm2"
"39843","1","HollT2"
"39844","0","HollT2"
"39845","1","HollT2"
"39846","0","lm2"
"39847","0","lm3"
"39848","0","HollT2"
"39849","0","lm2"
"39850","1","lm3"
"39851","1","lm3"
"39852","1","lm3"
"39853","1","lm3"
"39854","0","HollT2"
"39855","0","HollT2"
"39856","1","lm3"
"39857","1","lm3"
"39858","0","HollT2"
"39859","0","lm2"
"39860","1","lm3"
"39861","1","lm3"
"39862","1","lm3"
"39863","1","lm3"
"39864","1","lm3"
"39865","1","lm3"
"39866","0","HollT2"
"39867","1","lm3"
"39868","0","lm2"
"39869","0","HollT2"
"39870","0","lm2"
"39871","1","lm3"
"39873","0","lm2"
"39874","0","HollT2"
"39875","0","HollT2"
"39876","0","HollT2"
"39877","1","lm3"
"39878","0","HollT2"
"39879","1","HollT2"
"39880","1","HollT2"
"39881","0","HollT2"
"39882","1","HollT2"
"39883","1","lm3"
"39884","1","lm3"
"39885","0","HollT2"
"39886","1","lm3"
"39887","0","HollT2"
"39888","1","lm3"
"39889","1","lm3"
"39890","0","lm2"
"39891","1","lm3"
"39892","1","lm3"
"39893","0","lm2"
"39894","1","HollT2"
"39895","0","lm3"
"39896","0","lm2"
"39897","0","HollT2"
"39898","0","lm2"
"39899","0","lm2"
"39900","1","lm3"
"39901","0","lm2"
"39902","1","HollT2"
"39903","1","HollT2"
"39904","0","lm2"
"39905","0","HollT2"
"39906","1","HollT2"
"39907","1","lm3"
"39908","1","HollT2"
"39909","0","HollT2"
"39910","0","HollT2"
"39911","0","lm2"
"39912","1","lm3"
"39913","1","lm3"
"39914","1","HollT2"
"39915","1","HollT2"
"39916","1","lm3"
"39917","1","lm3"
"39918","0","lm2"
"39919","0","HollT2"
"39920","1","lm3"
"39921","0","lm2"
"39922","0","HollT2"
"39923","1","lm3"
"39924","1","lm3"
"39925","0","lm3"
"39926","1","lm3"
"39927","0","lm2"
"39928","1","lm3"
"39929","1","lm3"
"39931","1","lm3"
"39932","1","lm3"
"39933","0","HollT2"
"39934","0","lm3"
"39935","1","lm3"
"39936","1","lm3"
"39937","1","lm3"
"39938","0","HollT2"
"39939","0","lm2"
"39940","1","HollT2"
"39941","0","lm2"
"39942","0","HollT2"
"39943","0","lm2"
"39944","1","lm3"
"39945","1","lm3"
"39946","1","lm3"
"39947","0","HollT2"
"39948","0","lm2"
"39949","1","HollT2"
"39950","0","lm2"
"39951","1","lm3"
"39952","1","lm3"
"39953","0","HollT2"
"39954","0","HollT2"
"39955","0","HollT2"
"39956","1","lm3"
"39957","0","HollT2"
"39958","1","lm3"
"39959","0","HollT2"
"39960","1","lm3"
"39961","0","lm2"
"39962","1","lm3"
"39963","1","HollT2"
"39964","1","lm3"
"39965","0","HollT2"
"39966","1","HollT2"
"39967","1","lm3"
"39968","1","lm3"
"39969","1","lm3"
"39970","1","lm3"
"39971","1","lm3"
"39972","1","HollT2"
"39973","1","lm3"
"39974","0","lm2"
"39975","1","lm3"
"39976","1","lm3"
"39977","1","lm3"
"39978","0","lm2"
"39979","0","lm2"
"39980","0","lm2"
"39981","0","HollT2"
"39982","1","HollT2"
"39983","0","HollT2"
"39984","1","lm3"
"39985","1","lm3"
"39986","1","lm3"
"39987","1","lm3"
"39988","0","HollT2"
"39989","0","lm2"
"39990","1","lm3"
"39991","1","HollT2"
"39992","0","HollT2"
"39993","1","lm3"
"39994","0","HollT2"
"39995","0","HollT2"
"39996","0","HollT2"
"39997","0","lm2"
"39998","1","lm3"
"39999","1","lm3"
"40000","0","lm2"
"40001","1","lm3"
"40002","1","lm3"
"40003","0","lm2"
"40004","0","lm3"
"40005","1","lm3"
"40006","1","HollT2"
"40007","0","lm2"
"40008","0","lm2"
"40009","1","lm3"
"40010","1","lm3"
"40011","1","lm3"
"40012","1","lm3"
"40013","1","HollT2"
"40014","1","lm3"
