"","Type.of.feeding.interaction","Predator.lifestage","Location","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","insectivorous","larva / juvenile","Strait of Georgia",0.125577629410637,0.0964302170576586,0.736377271193123,4.3083628793485,0.0465944025225442,1,-34.5810104889468,75.1620209778937,79.5592286862928,16.2675445658949,30,32
"2","piscivorous","adult","Apalachicola Bay, Florida",0.13840835729043,0.12815131392484,0.279334887417602,13.4939818773465,0.000420131370657525,1,-11.3373267542557,28.6746535085114,36.0376953972719,6.55435026360278,84,86
"3","piscivorous","adult","Atlantic Ocean",0.167648928394048,0.167573205043284,0.567607575947429,2213.96605803829,0,1,-9372.63324204917,18751.2664840983,18773.1817989436,3541.38453611989,10992,10994
"4","piscivorous","adult","Cape Cod Bay, Gulf of Maine, New England",1.05682888325564e-05,-0.014274995021327,0.146178837711231,0.000739788036572593,0.978378371318805,1,37.3011405350009,-68.6022810700017,-61.7722827129536,1.49577768162245,70,72
"5","piscivorous","adult","Eastern Mediterranean",0.621375968997542,0.618346976749523,0.413051230330509,205.142805962542,3.90742334690268e-28,1,-66.905912580637,139.811825161274,148.34438642065,21.3264148596934,125,127
"6","piscivorous","adult","Europe, Celtic Sea ecosystem",0.360856572626596,0.360550615983526,0.484946028878608,1179.43695879791,2.57239252512369e-205,1,-1452.70633617093,2911.41267234187,2928.34886544015,491.275667782601,2089,2091
"7","piscivorous","adult","French Polynesian EEZ",0.000137077297159913,-0.000395047728227294,0.247794727715982,0.257603552962255,0.611830912872535,1,-43.7370719650367,93.4741439300733,110.092820417976,115.374784690531,1879,1881
"8","piscivorous","adult","Great Channel South, Gulf of Maine, New England",0.236407118878562,0.235353887318394,0.270232722350482,224.458825408692,2.09079088296611e-44,1,-79.3079685444287,164.615937088857,178.382716521458,52.9436500659906,725,727
"9","piscivorous","adult","Great South Bay, Long Island, New York",0.268430572529679,0.265950676165373,0.312581626618074,108.242657392169,8.43412441946392e-22,1,-75.0431394614652,156.08627892293,167.167475339338,28.8236456232644,295,297
"10","piscivorous","adult","Gulf of Maine, New England",0.00369890195870799,-0.00891250434561219,0.271986129780507,0.293298135786879,0.589638854188325,1,-8.45912764758914,22.9182552951783,30.1016027591956,5.84413992864531,79,81
"11","piscivorous","adult","Jeffreys Ledge, Gulf of Maine, New England",0.095517250056694,0.0931800853281584,0.178068178492704,40.8688565638843,4.69052308103862e-10,1,120.289524292469,-234.579048584938,-222.688310554083,12.2711028861916,387,389
"12","piscivorous","adult","Mid Atlantic",0.0484716094614917,0.0354369739746627,0.293804125808465,3.71867778814918,0.0576960215780975,1,-13.5436668438661,33.0873336877321,40.0397980283411,6.30142309697156,73,75
"13","piscivorous","adult","Off the Bay of Biscay",0.142626808084676,0.140218456421993,0.330265607768452,59.2217533239124,1.39971967104686e-13,1,-110.363999853081,226.727999706161,238.369598665364,38.8308323161808,356,358
"14","piscivorous","adult","South of Marthas Vineyard, New England",0.136288598876772,0.0745949273679702,0.45872822729587,2.20911797828936,0.159367429953627,1,-9.16600792347705,24.3320158469541,26.6497820136734,2.94604221125216,14,16
"15","piscivorous","adult","Stellwagen Bank, Gulf of Maine, New England",0.0385393345397011,0.0366316744891847,0.184635432982574,20.2024121275,8.65041891346352e-06,1,137.8413312309,-269.682662461801,-257.003052453938,17.1814825287819,504,506
"16","piscivorous","juvenile","Apalachicola Bay, Florida",0.0622128331867772,0.027479975156658,0.269895802313814,1.7911809368762,0.191944478653284,1,-2.13120244226148,10.262404884523,14.3642923744824,1.96678109087867,27,29
"17","piscivorous","juvenile","Off the Bay of Biscay",0.500004156244414,0.499836203324107,2.15571083656158e-13,2977.0494929699,0,1,82657.9643016394,-165309.928603279,-165291.930574421,1.38343845807571e-22,2977,2979
"18","piscivorous","juvenile","W Greenland",0.62039772600606,0.600418658953747,0.130746476581214,31.0523872001444,2.25023100017494e-05,1,13.9775647247804,-21.9551294495609,-18.8215621363906,0.324798181629639,19,21
"19","piscivorous","larva / juvenile","Strait of Georgia",0.502262057547569,0.446957841719521,0.671466755485412,9.08180416316188,0.0146301686798565,1,-10.1234365472807,26.2468730945615,27.4405589129566,4.05780843349896,9,11
"20","piscivorous","postlarva","Antarctic Peninsula",0.0389698693052271,0.00796889734733119,0.337397786220465,1.25705314524184,0.270820006991041,1,-9.93912758953473,25.8782551790695,30.3677778634689,3.52895525054059,31,33
